age,annual_income,credit_score,debt_to_income_ratio,credit_utilization_rate,payment_history_score,loan_amount,employment_length_years,revolving_balance,num_credit_lines,home_ownership,loan_intent,default_risk
50,109900.0,573,0.281,0.536,72.3,16100.0,4,8253.0,6,MORTGAGE,MEDICAL,0
58,133900.0,548,0.105,0.275,93.0,32800.0,13,9629.0,3,MORTGAGE,EDUCATION,0
22,38300.0,697,0.063,0.784,63.5,6100.0,0,8423.0,3,RENT,VENTURE,1
41,44700.0,682,0.388,0.323,81.6,15600.0,0,2024.0,7,OWN,DEBTCONSOLIDATION,1
53,125300.0,785,0.12,0.498,94.4,19900.0,12,10469.0,5,RENT,VENTURE,0
32,164600.0,688,0.438,0.242,84.1,23400.0,6,14010.0,8,MORTGAGE,PERSONAL,0
42,83900.0,639,0.197,0.108,80.3,26200.0,8,3024.0,6,MORTGAGE,VENTURE,0
64,35300.0,670,0.133,0.596,98.0,22200.0,1,2405.0,7,RENT,PERSONAL,1
45,197300.0,678,0.36,0.503,72.1,30800.0,0,37382.0,8,RENT,VENTURE,1
47,43500.0,544,0.293,0.134,68.0,10100.0,3,1573.0,5,RENT,MEDICAL,1
62,49000.0,850,0.049,0.414,69.5,37100.0,23,4541.0,4,OWN,EDUCATION,0
48,73500.0,708,0.166,0.161,69.9,14600.0,11,1424.0,7,OWN,MEDICAL,0
36,152100.0,685,0.326,0.242,87.0,24600.0,0,11247.0,7,RENT,DEBTCONSOLIDATION,0
35,99900.0,716,0.341,0.421,78.4,5300.0,1,15657.0,12,RENT,MEDICAL,1
67,76800.0,723,0.329,0.177,93.8,21300.0,1,989.0,13,RENT,MEDICAL,1
64,79100.0,659,0.113,0.238,87.5,14900.0,8,4372.0,11,MORTGAGE,PERSONAL,0
23,61500.0,622,0.166,0.529,86.4,10800.0,8,11614.0,2,RENT,EDUCATION,0
57,83700.0,714,0.399,0.413,61.2,33100.0,1,13253.0,6,RENT,MEDICAL,1
27,18000.0,698,0.082,0.701,88.9,15600.0,3,949.0,5,MORTGAGE,PERSONAL,0
41,50100.0,609,0.129,0.589,97.0,15400.0,3,9646.0,5,MORTGAGE,VENTURE,0
29,69200.0,776,0.245,0.325,83.2,4900.0,2,3340.0,7,MORTGAGE,DEBTCONSOLIDATION,0
59,30000.0,692,0.299,0.866,70.4,8300.0,3,6223.0,8,RENT,VENTURE,1
38,75500.0,724,0.371,0.706,63.4,15200.0,1,17287.0,5,MORTGAGE,MEDICAL,1
24,53000.0,774,0.148,0.442,94.0,8300.0,3,5641.0,5,RENT,PERSONAL,0
45,171700.0,671,0.209,0.266,83.2,36900.0,5,4043.0,5,MORTGAGE,MEDICAL,0
34,153900.0,693,0.198,0.599,65.7,10900.0,0,23663.0,2,RENT,PERSONAL,1
29,45300.0,730,0.123,0.545,86.6,6800.0,17,2252.0,6,MORTGAGE,VENTURE,0
46,54700.0,615,0.215,0.36,81.7,6100.0,0,3379.0,7,RENT,PERSONAL,1
22,57300.0,674,0.081,0.4,100.0,12200.0,2,5624.0,3,RENT,PERSONAL,0
40,45700.0,679,0.223,0.433,72.3,24200.0,3,7856.0,6,MORTGAGE,MEDICAL,0
48,67300.0,598,0.325,0.66,86.5,6900.0,0,13522.0,11,MORTGAGE,PERSONAL,1
67,38000.0,843,0.104,0.613,96.2,6400.0,3,3637.0,6,MORTGAGE,PERSONAL,0
27,30400.0,564,0.051,0.477,87.5,8900.0,10,5174.0,3,RENT,DEBTCONSOLIDATION,0
64,87000.0,572,0.3,0.516,80.1,12700.0,11,5798.0,6,OWN,EDUCATION,0
28,87400.0,768,0.271,0.33,78.0,6400.0,1,5318.0,7,MORTGAGE,DEBTCONSOLIDATION,0
67,37000.0,723,0.255,0.237,78.3,14500.0,4,2424.0,3,RENT,PERSONAL,1
55,102500.0,593,0.137,0.361,75.9,39700.0,7,7167.0,2,MORTGAGE,DEBTCONSOLIDATION,0
34,41000.0,715,0.161,0.72,73.6,13200.0,1,9014.0,7,RENT,PERSONAL,1
37,69700.0,780,0.081,0.182,95.6,10000.0,3,3523.0,5,RENT,PERSONAL,0
56,97900.0,667,0.281,0.495,94.6,29200.0,2,13741.0,4,MORTGAGE,EDUCATION,0
60,58700.0,850,0.08,0.291,90.7,6000.0,2,3367.0,6,MORTGAGE,EDUCATION,0
24,78700.0,540,0.039,0.487,84.7,19400.0,0,2656.0,5,RENT,PERSONAL,0
22,43900.0,722,0.062,0.088,84.3,13600.0,2,1373.0,2,OWN,MEDICAL,0
26,53200.0,757,0.356,0.301,63.2,43700.0,0,1216.0,5,RENT,MEDICAL,1
62,52900.0,736,0.393,0.411,90.4,32100.0,1,4618.0,9,RENT,MEDICAL,1
24,38300.0,654,0.38,0.119,82.2,3400.0,2,710.0,10,MORTGAGE,VENTURE,0
49,53800.0,648,0.407,0.817,67.6,15500.0,2,6757.0,8,MORTGAGE,MEDICAL,1
38,23600.0,703,0.052,0.652,94.6,4800.0,12,1990.0,8,MORTGAGE,PERSONAL,0
46,44600.0,731,0.305,0.258,80.1,29700.0,4,1669.0,3,MORTGAGE,EDUCATION,1
64,50500.0,715,0.196,0.195,91.0,6900.0,18,3785.0,3,MORTGAGE,MEDICAL,0
54,51300.0,748,0.148,0.117,87.3,23200.0,4,2342.0,2,MORTGAGE,PERSONAL,0
30,51800.0,593,0.249,0.333,71.1,29900.0,8,4309.0,6,OWN,MEDICAL,0
56,57700.0,652,0.313,0.519,91.0,3700.0,8,6996.0,9,MORTGAGE,PERSONAL,0
34,79800.0,599,0.07,0.303,74.0,37500.0,6,1618.0,7,RENT,EDUCATION,0
51,101200.0,641,0.45,0.109,62.0,29300.0,5,3655.0,4,RENT,DEBTCONSOLIDATION,1
35,40500.0,746,0.116,0.424,90.9,6400.0,2,1884.0,6,RENT,PERSONAL,0
28,29100.0,678,0.533,0.259,84.4,30100.0,4,753.0,5,MORTGAGE,PERSONAL,1
34,32000.0,850,0.212,0.366,83.3,5800.0,1,2324.0,6,RENT,EDUCATION,1
43,44700.0,684,0.155,0.342,91.1,25200.0,4,2624.0,5,MORTGAGE,DEBTCONSOLIDATION,0
60,48500.0,674,0.071,0.327,68.2,12500.0,3,1329.0,4,RENT,MEDICAL,1
41,37700.0,677,0.12,0.636,70.6,4900.0,8,2440.0,2,MORTGAGE,VENTURE,0
36,27500.0,622,0.386,0.614,68.7,37500.0,11,6709.0,3,RENT,MEDICAL,1
65,45500.0,665,0.201,0.66,76.3,37500.0,0,9225.0,6,OWN,VENTURE,1
38,66800.0,754,0.164,0.428,86.0,15300.0,5,7419.0,2,RENT,EDUCATION,0
67,85600.0,678,0.076,0.135,100.0,13600.0,14,1806.0,6,MORTGAGE,VENTURE,0
44,42900.0,610,0.273,0.456,79.1,10100.0,12,3912.0,5,MORTGAGE,DEBTCONSOLIDATION,0
46,46700.0,600,0.284,0.667,84.0,19700.0,8,8404.0,7,RENT,EDUCATION,1
45,34300.0,636,0.33,0.555,64.9,17800.0,0,6177.0,9,RENT,EDUCATION,1
65,58800.0,675,0.176,0.451,75.4,38900.0,1,10110.0,5,RENT,PERSONAL,1
61,36000.0,759,0.447,0.618,57.3,15500.0,0,2068.0,4,RENT,PERSONAL,1
49,84400.0,569,0.278,0.591,100.0,35600.0,13,5840.0,8,RENT,VENTURE,1
35,20500.0,646,0.131,0.625,59.3,3600.0,6,3186.0,6,MORTGAGE,MEDICAL,1
65,48300.0,680,0.098,0.421,75.8,23600.0,3,7696.0,5,RENT,VENTURE,0
21,71700.0,532,0.146,0.593,80.3,15100.0,19,8860.0,3,RENT,PERSONAL,0
45,66900.0,607,0.165,0.194,100.0,17200.0,1,3529.0,10,RENT,VENTURE,0
27,301300.0,619,0.111,0.577,84.7,47700.0,5,26565.0,6,RENT,EDUCATION,0
29,73900.0,610,0.325,0.375,65.1,29000.0,4,9259.0,6,RENT,MEDICAL,1
44,32800.0,684,0.1,0.326,78.4,10500.0,2,2800.0,9,MORTGAGE,DEBTCONSOLIDATION,0
21,56500.0,657,0.206,0.276,82.7,7400.0,3,2864.0,6,RENT,MEDICAL,1
64,20600.0,628,0.298,0.209,74.3,3500.0,1,1033.0,7,RENT,PERSONAL,1
28,57000.0,702,0.153,0.252,73.1,18300.0,5,4211.0,6,RENT,MEDICAL,1
44,36300.0,799,0.191,0.573,72.2,31600.0,2,2594.0,6,MORTGAGE,EDUCATION,1
31,103700.0,792,0.348,0.705,72.6,32500.0,0,12392.0,6,RENT,MEDICAL,1
37,43100.0,525,0.043,0.373,70.8,10100.0,15,2213.0,7,RENT,PERSONAL,0
28,55800.0,713,0.106,0.167,71.2,32100.0,3,3597.0,8,OWN,DEBTCONSOLIDATION,0
55,40900.0,656,0.315,0.506,77.9,32500.0,6,1346.0,6,MORTGAGE,MEDICAL,1
55,170000.0,681,0.024,0.372,90.8,26300.0,1,4411.0,4,MORTGAGE,EDUCATION,0
53,49400.0,640,0.293,0.147,66.5,13900.0,0,1267.0,5,MORTGAGE,EDUCATION,0
25,179800.0,678,0.489,0.358,72.1,12900.0,11,15340.0,7,RENT,MEDICAL,1
62,97600.0,681,0.036,0.636,82.5,19400.0,4,10249.0,3,MORTGAGE,VENTURE,0
59,80000.0,626,0.096,0.266,88.1,21500.0,3,7446.0,5,MORTGAGE,PERSONAL,0
61,74700.0,602,0.338,0.52,99.6,9600.0,3,4245.0,6,RENT,MEDICAL,1
48,75800.0,636,0.121,0.291,90.2,10400.0,1,3918.0,10,RENT,DEBTCONSOLIDATION,0
27,18800.0,687,0.142,0.525,83.6,16100.0,12,2179.0,5,MORTGAGE,DEBTCONSOLIDATION,0
29,50600.0,714,0.26,0.612,81.4,8700.0,1,3740.0,5,RENT,PERSONAL,1
28,99400.0,734,0.171,0.423,80.3,9400.0,0,6371.0,6,RENT,EDUCATION,0
32,58100.0,632,0.106,0.141,67.8,3900.0,13,3126.0,3,OWN,VENTURE,0
54,25800.0,691,0.15,0.583,86.5,6600.0,1,3491.0,4,RENT,EDUCATION,0
53,58000.0,742,0.059,0.517,76.5,22500.0,9,10627.0,8,MORTGAGE,VENTURE,0
43,166500.0,757,0.034,0.711,83.6,27000.0,7,17080.0,5,MORTGAGE,VENTURE,0
44,126500.0,665,0.2,0.215,70.5,13000.0,2,7189.0,5,MORTGAGE,PERSONAL,0
57,57700.0,653,0.136,0.446,80.6,23200.0,1,8161.0,7,OWN,VENTURE,0
55,106000.0,684,0.045,0.818,70.6,2800.0,7,17130.0,5,MORTGAGE,DEBTCONSOLIDATION,0
64,48100.0,583,0.104,0.27,88.1,18000.0,4,3489.0,6,MORTGAGE,DEBTCONSOLIDATION,0
60,21500.0,655,0.084,0.189,78.7,4800.0,1,1431.0,4,MORTGAGE,PERSONAL,0
42,34400.0,725,0.302,0.471,83.9,7400.0,11,1608.0,4,OWN,DEBTCONSOLIDATION,0
47,152900.0,718,0.061,0.494,76.5,21000.0,6,13155.0,1,RENT,MEDICAL,0
55,50800.0,649,0.277,0.28,90.0,23700.0,11,4813.0,6,MORTGAGE,EDUCATION,0
21,51700.0,686,0.137,0.628,86.0,3500.0,2,4247.0,9,RENT,VENTURE,0
55,50000.0,608,0.168,0.433,71.7,4200.0,0,5296.0,3,MORTGAGE,VENTURE,0
57,187700.0,722,0.227,0.462,70.7,8400.0,12,17630.0,4,MORTGAGE,MEDICAL,0
67,158800.0,664,0.126,0.471,92.2,3800.0,4,21146.0,2,MORTGAGE,PERSONAL,0
34,226700.0,649,0.382,0.476,54.2,10000.0,4,30625.0,5,RENT,PERSONAL,1
23,54400.0,642,0.138,0.609,98.3,24500.0,4,8364.0,7,MORTGAGE,VENTURE,0
21,71500.0,665,0.18,0.548,73.0,4500.0,3,14943.0,5,MORTGAGE,EDUCATION,0
25,24100.0,636,0.068,0.128,89.5,54700.0,1,344.0,4,MORTGAGE,PERSONAL,1
46,145200.0,719,0.248,0.283,86.2,11100.0,4,14065.0,5,OWN,DEBTCONSOLIDATION,0
34,29700.0,640,0.042,0.538,77.4,17300.0,6,3536.0,8,RENT,DEBTCONSOLIDATION,0
59,68200.0,789,0.161,0.344,85.4,6500.0,12,6607.0,8,MORTGAGE,MEDICAL,0
47,31000.0,779,0.137,0.327,82.4,27700.0,0,1478.0,5,MORTGAGE,PERSONAL,1
29,42100.0,603,0.133,0.61,90.9,15700.0,1,2134.0,8,RENT,DEBTCONSOLIDATION,1
35,36200.0,675,0.227,0.311,72.5,16000.0,7,3627.0,7,RENT,PERSONAL,0
35,41600.0,621,0.308,0.371,89.7,17500.0,7,2132.0,7,RENT,PERSONAL,1
46,43300.0,645,0.01,0.405,58.5,5400.0,1,3272.0,8,RENT,DEBTCONSOLIDATION,1
62,43100.0,820,0.201,0.465,88.8,17800.0,1,1335.0,6,MORTGAGE,PERSONAL,0
33,98700.0,646,0.264,0.766,81.7,21900.0,2,20986.0,1,RENT,MEDICAL,1
52,30900.0,697,0.074,0.5,87.4,4600.0,0,4490.0,6,RENT,PERSONAL,0
59,68300.0,710,0.185,0.375,88.9,11100.0,6,9363.0,10,OWN,EDUCATION,0
52,124300.0,594,0.119,0.244,99.2,10800.0,5,10975.0,9,RENT,EDUCATION,0
24,44000.0,605,0.32,0.473,83.1,13800.0,9,6177.0,11,RENT,EDUCATION,1
50,38900.0,579,0.121,0.322,71.2,22100.0,2,2039.0,6,MORTGAGE,EDUCATION,0
57,52100.0,603,0.215,0.289,100.0,23700.0,5,2727.0,4,RENT,PERSONAL,0
43,121500.0,456,0.186,0.697,86.0,12500.0,15,15548.0,4,RENT,PERSONAL,0
59,67300.0,710,0.22,0.366,92.0,26100.0,15,2349.0,3,OWN,DEBTCONSOLIDATION,0
65,43500.0,824,0.241,0.862,77.0,5100.0,0,14307.0,4,RENT,PERSONAL,1
35,80000.0,681,0.191,0.723,76.9,16000.0,0,19455.0,4,RENT,PERSONAL,1
63,30900.0,563,0.222,0.293,83.3,3300.0,16,913.0,6,MORTGAGE,PERSONAL,0
49,90100.0,621,0.286,0.637,88.5,9400.0,3,21882.0,10,RENT,MEDICAL,1
56,76500.0,635,0.23,0.361,85.3,18700.0,6,9531.0,5,MORTGAGE,PERSONAL,0
33,49800.0,593,0.312,0.171,70.0,22000.0,12,3164.0,9,RENT,MEDICAL,1
52,36200.0,734,0.059,0.355,100.0,16400.0,2,1927.0,4,RENT,EDUCATION,0
27,35200.0,730,0.233,0.7,67.7,40200.0,2,4126.0,7,MORTGAGE,DEBTCONSOLIDATION,1
42,82500.0,583,0.105,0.268,86.0,14400.0,0,4742.0,5,OWN,EDUCATION,0
48,125200.0,724,0.287,0.341,82.3,4100.0,11,5485.0,3,MORTGAGE,DEBTCONSOLIDATION,0
22,40800.0,784,0.083,0.437,100.0,2700.0,5,3796.0,11,RENT,VENTURE,0
62,78800.0,812,0.339,0.553,76.8,6700.0,0,2319.0,9,RENT,DEBTCONSOLIDATION,1
65,18000.0,850,0.198,0.2,67.3,6600.0,4,1286.0,2,RENT,EDUCATION,0
26,42200.0,602,0.346,0.58,89.8,13700.0,1,2614.0,8,MORTGAGE,DEBTCONSOLIDATION,0
48,58800.0,850,0.386,0.268,76.0,9100.0,0,3550.0,5,RENT,MEDICAL,1
48,34700.0,643,0.167,0.677,94.8,6900.0,1,8812.0,5,MORTGAGE,EDUCATION,0
64,34100.0,625,0.158,0.541,92.5,8900.0,4,6223.0,13,OWN,MEDICAL,0
64,40100.0,694,0.224,0.664,90.5,10500.0,4,8564.0,9,MORTGAGE,VENTURE,0
40,71300.0,626,0.184,0.295,72.7,7400.0,7,5509.0,10,MORTGAGE,DEBTCONSOLIDATION,0
50,53500.0,699,0.186,0.389,92.4,13700.0,1,4218.0,9,RENT,EDUCATION,0
31,18000.0,570,0.291,0.461,100.0,25900.0,12,1710.0,3,MORTGAGE,DEBTCONSOLIDATION,1
48,18000.0,652,0.304,0.61,77.4,8500.0,3,883.0,8,MORTGAGE,MEDICAL,0
45,41600.0,766,0.069,0.676,79.6,14200.0,1,2044.0,5,RENT,VENTURE,1
59,78800.0,665,0.327,0.258,80.3,56900.0,2,7018.0,5,MORTGAGE,DEBTCONSOLIDATION,1
53,18000.0,680,0.02,0.504,78.4,15900.0,12,1751.0,7,RENT,PERSONAL,1
21,44400.0,705,0.112,0.481,83.6,28700.0,3,1472.0,3,MORTGAGE,PERSONAL,0
47,43700.0,757,0.221,0.356,82.2,9600.0,10,4388.0,4,MORTGAGE,VENTURE,0
33,137700.0,545,0.083,0.686,81.3,30300.0,0,27314.0,8,RENT,MEDICAL,1
61,47500.0,713,0.208,0.703,71.3,7600.0,12,4328.0,3,RENT,DEBTCONSOLIDATION,1
23,75300.0,649,0.298,0.295,96.3,20400.0,2,4304.0,9,MORTGAGE,MEDICAL,0
59,65200.0,682,0.329,0.608,86.5,28400.0,13,9938.0,8,RENT,VENTURE,1
26,18000.0,749,0.179,0.629,93.6,39300.0,10,2929.0,7,MORTGAGE,PERSONAL,1
28,94900.0,580,0.198,0.235,89.2,14600.0,5,5105.0,8,MORTGAGE,MEDICAL,0
47,68100.0,594,0.401,0.559,50.1,11100.0,5,6756.0,5,OWN,PERSONAL,1
29,81200.0,524,0.093,0.266,92.9,5100.0,1,1600.0,2,RENT,VENTURE,0
57,350000.0,628,0.202,0.504,91.7,12700.0,4,10196.0,10,MORTGAGE,DEBTCONSOLIDATION,0
53,18000.0,769,0.121,0.357,84.9,23500.0,3,1355.0,5,MORTGAGE,PERSONAL,1
62,168500.0,660,0.238,0.547,100.0,21800.0,2,11155.0,5,MORTGAGE,PERSONAL,0
64,50400.0,569,0.48,0.11,94.5,13200.0,3,2098.0,2,MORTGAGE,MEDICAL,0
44,71100.0,633,0.125,0.124,94.1,17300.0,13,2417.0,8,RENT,EDUCATION,0
35,58300.0,558,0.259,0.453,61.6,43000.0,0,6733.0,5,RENT,EDUCATION,1
52,46400.0,585,0.224,0.463,98.1,21500.0,2,4131.0,6,MORTGAGE,EDUCATION,0
52,42500.0,699,0.111,0.303,90.1,11300.0,2,2129.0,6,RENT,PERSONAL,0
44,73000.0,581,0.408,0.199,65.9,13300.0,16,1641.0,7,RENT,DEBTCONSOLIDATION,0
61,24100.0,753,0.241,0.513,85.8,21400.0,18,878.0,6,RENT,EDUCATION,1
32,93900.0,664,0.137,0.037,61.7,20300.0,4,945.0,5,MORTGAGE,EDUCATION,0
59,46600.0,676,0.177,0.414,90.2,64900.0,3,6226.0,5,RENT,EDUCATION,1
22,30400.0,649,0.07,0.137,84.2,42400.0,11,1459.0,3,MORTGAGE,PERSONAL,0
23,45700.0,727,0.264,0.577,74.8,6500.0,0,8003.0,4,RENT,PERSONAL,1
57,127300.0,728,0.266,0.175,90.5,8500.0,4,8108.0,4,MORTGAGE,PERSONAL,0
37,43400.0,695,0.214,0.733,72.9,32700.0,0,12533.0,7,RENT,MEDICAL,1
22,74200.0,712,0.189,0.164,83.4,7800.0,17,4704.0,11,RENT,MEDICAL,0
22,38600.0,654,0.275,0.659,95.3,15000.0,1,6545.0,3,RENT,PERSONAL,1
48,94300.0,710,0.372,0.913,77.9,41700.0,3,11061.0,5,MORTGAGE,EDUCATION,1
43,90300.0,644,0.32,0.217,70.6,16600.0,2,1709.0,8,MORTGAGE,VENTURE,0
57,181500.0,670,0.041,0.412,95.1,26600.0,11,29752.0,3,OWN,EDUCATION,0
52,53900.0,649,0.072,0.277,83.3,15600.0,35,2358.0,8,MORTGAGE,EDUCATION,0
53,89400.0,635,0.186,0.288,100.0,12700.0,0,1593.0,11,MORTGAGE,VENTURE,0
21,63500.0,618,0.249,0.183,88.2,3700.0,6,2171.0,11,MORTGAGE,MEDICAL,0
39,130300.0,705,0.245,0.553,91.2,16000.0,2,22470.0,9,RENT,MEDICAL,1
22,38900.0,768,0.204,0.589,86.4,9200.0,0,8289.0,7,RENT,DEBTCONSOLIDATION,1
64,93600.0,757,0.125,0.522,88.7,34200.0,2,10610.0,6,MORTGAGE,PERSONAL,0
46,53300.0,575,0.185,0.61,89.3,2300.0,31,4972.0,4,MORTGAGE,MEDICAL,0
52,57600.0,766,0.182,0.124,90.1,9400.0,2,2303.0,5,RENT,VENTURE,0
26,63300.0,646,0.129,0.336,68.6,35300.0,1,4814.0,10,MORTGAGE,EDUCATION,1
52,69700.0,715,0.019,0.279,71.7,52500.0,9,1558.0,6,OWN,EDUCATION,0
24,55800.0,602,0.08,0.344,89.9,29900.0,10,6924.0,4,MORTGAGE,MEDICAL,1
31,68100.0,680,0.246,0.229,83.1,21300.0,2,4359.0,6,MORTGAGE,EDUCATION,0
37,154300.0,693,0.149,0.442,72.8,4000.0,1,4289.0,3,RENT,EDUCATION,0
58,108100.0,558,0.147,0.726,85.6,6400.0,5,4173.0,5,RENT,VENTURE,1
44,100900.0,715,0.39,0.297,100.0,25600.0,1,2418.0,6,MORTGAGE,EDUCATION,0
25,45600.0,770,0.238,0.353,84.3,5400.0,3,5436.0,5,RENT,PERSONAL,0
54,35100.0,656,0.08,0.45,87.1,11300.0,0,3451.0,7,MORTGAGE,PERSONAL,0
26,106200.0,772,0.055,0.314,87.4,10700.0,1,5581.0,10,OWN,MEDICAL,0
42,101300.0,655,0.256,0.169,74.7,17900.0,1,2350.0,7,RENT,DEBTCONSOLIDATION,1
31,144900.0,733,0.099,0.229,81.4,21400.0,5,7546.0,7,MORTGAGE,EDUCATION,0
36,41700.0,503,0.052,0.433,56.9,2300.0,1,1428.0,7,MORTGAGE,PERSONAL,0
53,52200.0,850,0.179,0.194,70.7,16300.0,11,2694.0,7,RENT,DEBTCONSOLIDATION,0
29,22400.0,782,0.151,0.381,81.1,8300.0,20,1563.0,8,RENT,VENTURE,1
26,47300.0,648,0.32,0.253,67.7,19700.0,0,4194.0,8,MORTGAGE,DEBTCONSOLIDATION,0
36,108900.0,522,0.23,0.443,81.8,3800.0,2,15151.0,5,OWN,MEDICAL,0
49,45300.0,691,0.205,0.588,78.4,27200.0,1,1503.0,6,RENT,PERSONAL,1
23,87900.0,561,0.063,0.528,97.9,8100.0,2,5025.0,11,MORTGAGE,PERSONAL,0
40,53400.0,703,0.378,0.279,100.0,10200.0,1,3217.0,4,MORTGAGE,DEBTCONSOLIDATION,0
56,72700.0,700,0.305,0.146,81.3,41800.0,2,2978.0,9,RENT,DEBTCONSOLIDATION,1
39,30100.0,599,0.482,0.087,86.5,12100.0,0,786.0,12,RENT,MEDICAL,1
46,63000.0,754,0.302,0.637,96.5,26700.0,1,13471.0,4,MORTGAGE,PERSONAL,0
23,18000.0,730,0.177,0.412,81.9,13100.0,6,499.0,3,MORTGAGE,PERSONAL,1
39,53500.0,743,0.124,0.249,87.0,42900.0,2,752.0,10,MORTGAGE,PERSONAL,0
40,22500.0,670,0.274,0.723,65.3,16900.0,1,4232.0,9,MORTGAGE,VENTURE,1
52,123500.0,563,0.302,0.416,88.2,19200.0,0,15584.0,5,MORTGAGE,DEBTCONSOLIDATION,0
27,95500.0,743,0.043,0.796,97.3,15200.0,2,24732.0,3,OWN,MEDICAL,0
61,79200.0,649,0.176,0.31,68.6,10900.0,5,2566.0,5,MORTGAGE,DEBTCONSOLIDATION,0
53,149100.0,565,0.041,0.318,62.1,24700.0,1,18447.0,6,RENT,VENTURE,0
60,33900.0,771,0.182,0.637,97.5,7900.0,2,2814.0,6,RENT,EDUCATION,0
59,170800.0,827,0.316,0.492,78.2,22200.0,15,11564.0,7,RENT,MEDICAL,1
38,104700.0,666,0.298,0.37,72.6,26200.0,4,4029.0,9,RENT,VENTURE,1
60,52000.0,831,0.023,0.538,83.2,19500.0,3,1822.0,4,MORTGAGE,EDUCATION,0
21,118300.0,676,0.219,0.445,75.4,6900.0,2,17552.0,2,MORTGAGE,MEDICAL,0
31,30800.0,641,0.062,0.48,69.6,18300.0,4,768.0,7,MORTGAGE,PERSONAL,0
48,36500.0,622,0.091,0.417,63.7,27800.0,20,3232.0,11,OWN,DEBTCONSOLIDATION,0
45,41600.0,792,0.226,0.196,100.0,5500.0,1,670.0,6,RENT,EDUCATION,0
43,43600.0,611,0.168,0.141,100.0,4600.0,14,404.0,10,RENT,EDUCATION,0
51,31800.0,725,0.081,0.652,79.0,24100.0,0,7819.0,8,RENT,VENTURE,1
50,124700.0,628,0.209,0.553,100.0,8500.0,0,23370.0,4,RENT,VENTURE,0
62,51300.0,635,0.214,0.292,97.9,22500.0,5,2819.0,8,RENT,VENTURE,0
55,74000.0,747,0.071,0.341,81.4,44300.0,1,5312.0,3,RENT,EDUCATION,0
27,42500.0,641,0.224,0.577,100.0,4800.0,2,8677.0,6,RENT,DEBTCONSOLIDATION,0
36,20100.0,639,0.206,0.532,57.5,4500.0,6,3517.0,6,RENT,MEDICAL,1
46,70400.0,754,0.305,0.424,79.5,23400.0,3,8718.0,3,OWN,EDUCATION,0
22,19000.0,789,0.34,0.21,100.0,33500.0,0,949.0,6,RENT,EDUCATION,1
21,57500.0,718,0.18,0.24,77.9,44400.0,1,3626.0,5,MORTGAGE,PERSONAL,1
32,26300.0,620,0.271,0.22,96.1,23500.0,0,1086.0,5,MORTGAGE,PERSONAL,0
25,197300.0,631,0.177,0.173,70.2,12200.0,13,8016.0,7,MORTGAGE,VENTURE,0
57,103400.0,675,0.163,0.305,74.1,14300.0,7,7534.0,7,OWN,EDUCATION,0
52,63800.0,694,0.293,0.357,86.7,16900.0,20,8033.0,7,MORTGAGE,EDUCATION,0
29,127800.0,595,0.307,0.129,89.9,43400.0,10,2086.0,5,RENT,PERSONAL,0
61,36000.0,724,0.202,0.412,84.5,16400.0,3,2022.0,4,MORTGAGE,DEBTCONSOLIDATION,0
